token,chain,symbol network,fee,min,max
GOAT,Solana,SOL,7.51696092,0.5,154383783.0
GODS,ERC20,ERC20,5.87,0.001,377002957.0
GOG,ERC20,ERC20,40.0,0.01,3407068826.0
GRT,ERC20,ERC20,8.65,1.0,523349503.0
HBAR,Hedera,HBAR,0.8,1.0,100935052.0
HMSTR,TON,TON,30.0,10.0,2044241300.0
ICE,BSC,BEP20,30.0,100.0,99999999.0
ICP,Dfinity,ICP,0.00024,0.001,1666428.0
ICX,ICON,ICX,0.016,1.0,96363907.0
ID,ERC20,ERC20,10.0,1.0,46987493.0
ILV,ERC20,ERC20,0.061,0.0001,3674873.0
IMX,ERC20,ERC20,1.65,0.01,99497044.0
INJ,INJ,INJ,0.008,0.1,1030044.0
IOST,IOST,IOST,0.8,1.0,4713223193.0
IOTA,MIOTA,IOTA,0.5,1.0,153380194.0
IP,Story,Story,0.01,0.0001,2082107.0
IQ,EOS,EOS,40.0,50.0,2209362041.0
J,Solana,SOL,2.6664036,0.0001,223103393.0
JOE,Avalanche C-Chain,AVAXC,2.0,0.0001,103511193.0
JST,TRC20,TRC20,40.0,2.0,540145058.0
JTO,Solana,SOL,0.265233,0.1,4915572.0
JUP,Solana,SOL,1.8,1.0,21267273.0
KAIA,Klaytn,KLAY,0.004,0.1,85004646.0
KAITO,Base,Base,0.1,0.0001,10997726.0
KDA,Kadena,KDA,1e-06,0.001,41252255.0
KISHU,ERC20,ERC20,39880756532.46654,100000000.0,2.777777777777778e+17
KNC,ERC20,ERC20,2.23,0.01,134690461.0
KSM,Kusama,KSM,0.008,0.1,3133083.0
LAT,PlatON,LAT,0.8,1.0,1933699452.0
LDO,ERC20,ERC20,0.96,0.1,57561286.0
LEO,ERC20,ERC20,3.03,1.0,4492558.0
LINK,ERC20,ERC20,0.055,0.1,3301993.0
LOOKS,ERC20,ERC20,64.47,0.0001,3906898795.0
LPT,ERC20,ERC20,0.18,0.1,10633637.0
LQTY,ERC20,ERC20,1.33,0.1,48235346.0
LRC,ERC20,ERC20,7.75,14.0,464942541.0
LSK,Lisk,LSK,0.08,1.0,17833143.0
LUNA,Terra,Terra,0.05,0.01,157691318.0
LUNC,Terra Classic,Terra Classic,1000.0,1.0,428631253248.0
MAGIC,Arbitrum One,ARBONE,0.02687195,1.0,226222043.0
MAJOR,TON,TON,0.5,0.5,72050171.0
MANA,ERC20,ERC20,2.63,1.0,159202800.0
MASK,ERC20,ERC20,0.6,0.1,36557168.0
MAX,ERC20,ERC20,50.0,1.0,99999999.0
MDT,ERC20,ERC20,31.51,1.0,1891114607.0
ME,Solana,SOL,0.42131844,0.1,45538203.0
MEME,ERC20,ERC20,439.25,100.0,5326240514.0
MEMEFI,SUI,SUI,50.0,0.1,11625169249.0
MENGO,Chiliz 2.0 Chain,Chiliz 2.0 Chain,0.1,1.0,82456006.0
MERL,MERLIN Network,MERLIN Network,5.0,1.0,220588729.0
METIS,Metis,METIS,0.01,0.01,1832103.0
MEW,Solana,SOL,184.12783381,100.0,3541860274.0
MILO,BSC,BEP20,60000000.0,1.0,1635322976287817.0
MINA,Mina,MINA,0.72,2.0,78907267.0
MKR,ERC20,ERC20,0.00051,0.001,30833.0
MLN,ERC20,ERC20,0.08,0.1,4798415.0
MOODENG,Solana,SOL,13.36363636,0.1,1526198767.0
MORPHO,ERC20,ERC20,0.5,1.0,8485893.0
MOVE,ERC20,ERC20,2.0,1.0,27688810.0
MOVR,Moonriver,MOVR,0.002,0.0001,1688834.0
MXC,Layer 3,Layer 3,200.0,100.0,4918445364.0
NAVX,SUI,SUI,0.2,0.0001,99999999.0
NC,Solana,SOL,13.19449267,0.1,1059347936.0
NEAR,NEAR,NEAR,0.015,0.1,7792093.0
NEIRO,ERC20,ERC20,3000.0,3000.0,47198319551.0
NEO,N3,N3,0.01,1.0,3164302.0
NFT,TRC20,TRC20,80000.0,0.01,39151201941900.0
NMR,ERC20,ERC20,0.098,0.1,5897309.0
NOT,TON,TON,30.0,10.0,4759875582.0
NULS,NULS,NULS,0.008,4.0,233762778.0
OAS,OASYS,OASYS,10.0,0.001,977405343.0
OKT,OKTC,OKTC,0.63,0.001,9125417.0
OL,ERC20,ERC20,10.0,1.0,301856595.0
OM,ERC20,ERC20,0.3,1.0,66980739.0
OMI,ERC20,ERC20,6000.0,1.0,210281362351.0
ONDO,ERC20,ERC20,0.81,0.1,29099101.0
ONE,Harmony,ONE,0.1,0.0001,1589322003.0
ONT,Ontology,ONT,1.0,1.0,125979940.0
OP,Optimism,OPTIMISM,0.1,0.001,24751353.0
ORBS,ERC20,ERC20,36.21,1.0,2208782153.0
ORDI,BRC20,BRC20,0.39,0.1,1295085.0
ORDI,MERLIN Network,MERLIN Network,0.05,0.01,1295085.0
OXT,ERC20,ERC20,10.57,1.0,637148698.0
